location_name,location_id,case_inflection_date,lag
Armenia,33,1/4/22,21
Azerbaijan,34,1/8/22,21
Georgia,35,1/1/22,21
Kazakhstan,36,1/4/22,21
Kyrgyzstan,37,1/2/22,21
Mongolia,38,12/31/21,28
Tajikistan,39,,28
Turkmenistan,40,,28
Uzbekistan,41,1/3/22,28
Albania,43,1/1/22,28
Bosnia and Herzegovina,44,12/24/21,28
Bulgaria,45,12/24/21,21
Croatia,46,12/23/21,21
Czechia,47,12/31/21,21
Hungary,48,1/1/22,28
Montenegro,50,12/20/21,21
North Macedonia,49,12/29/21,21
Poland,51,1/8/22,28
Romania,52,12/28/21,28
Serbia,53,12/25/21,28
Slovakia,54,1/23/22,28
Slovenia,55,12/24/21,28
Belarus,57,1/11/22,28
Estonia,58,12/22/21,28
Latvia,59,12/28/21,28
Lithuania,60,12/29/21,28
Republic of Moldova,61,12/31/21,28
Russian Federation,62,1/10/22,28
Ukraine,63,1/8/22,28
Australia,71,12/10/21,28
New Zealand ,72,1/29/22,28
Brunei Darussalam ,66,1/29/22,28
Japan,67,1/3/22,28
Republic of Korea,68,1/10/22,28
Singapore,69,12/30/21,28
Alberta,43858,12/10/21,42
British Columbia,43859,12/10/21,42
Manitoba,43860,12/15/21,42
New Brunswick,43861,12/18/21,42
Newfoundland and Labrador,43862,12/10/21,42
Northwest Territories ,43863,12/30/21,42
Nova Scotia,43864,12/10/21,42
Nunavut,43865,12/20/21,42
Ontario,43866,12/10/21,42
Prince Edward Island,43867,12/14/21,42
Quebec,43868,12/14/21,42
Saskatchewan,43869,12/20/21,42
Yukon,43870,12/28/21,42
Greenland,349,12/26/21,28
Alabama,523,12/18/21,28
Alaska,524,12/28/21,28
Arizona,525,12/25/21,28
Arkansas,526,12/24/21,28
California,527,12/18/21,28
Colorado,528,12/17/21,28
Connecticut,529,12/17/21,28
Delaware,530,12/23/21,28
District of Columbia,531,12/8/21,28
Florida,532,12/18/21,28
Georgia,533,12/15/21,28
Hawaii,534,12/13/21,28
Idaho,535,12/24/21,28
Illinois,536,12/20/21,28
Indiana,537,12/25/21,28
Iowa,538,12/23/21,28
Kansas,539,12/22/21,28
Kentucky,540,12/23/21,28
Louisiana,541,12/15/21,28
Maine,542,12/31/21,28
Maryland,543,12/17/21,28
Massachusetts,544,12/18/21,28
Michigan,545,12/23/21,28
Minnesota,546,12/28/21,28
Mississippi,547,12/24/21,28
Missouri,548,12/18/21,28
Montana,549,12/24/21,28
Nebraska,550,12/23/21,21
Nevada,551,12/24/21,28
New Hampshire,552,12/26/21,28
New Jersey,553,12/15/21,28
New Mexico,554,12/24/21,28
New York,555,12/15/21,28
North Carolina,556,12/25/21,28
North Dakota,557,12/31/21,28
Ohio,558,12/22/21,28
Oklahoma,559,12/24/21,21
Oregon,560,12/22/21,28
Pennsylvania,561,12/22/21,28
Rhode Island ,562,12/24/21,21
South Carolina,563,12/18/21,28
South Dakota ,564,12/30/21,21
Tennessee,565,12/20/21,28
Texas,566,12/20/21,28
Utah,567,12/24/21,28
Vermont,568,12/27/21,28
Virginia,569,12/22/21,28
Washington,570,12/15/21,28
King and Snohomish Counties,60886,12/14/21,28
Spokane County,3539,12/22/21,28
"Washington except for King, Snohomish, and Spokane Counties ",60887,12/18/21,28
West Virginia,571,12/24/21,28
Wisconsin,572,12/24/21,28
Wyoming,573,12/23/21,28
Argentina,97,12/22/21,35
Chile,98,12/28/21,28
Uruguay,99,12/24/21,35
Andorra,74,12/28/21,35
Austria,75,12/25/21,28
Belgium,76,12/24/21,28
Cyprus,77,12/22/21,28
Denmark,78,12/24/21,35
Finland,79,12/24/21,28
France,80,12/22/21,28
Baden-Württemberg,60377,12/27/21,28
Bavaria,60378,12/28/21,28
Berlin,60379,12/30/21,28
Brandenburg,60380,12/31/21,28
Bremen,60381,12/26/21,28
Hamburg,60382,12/27/21,28
Hesse,60383,12/28/21,28
Lower Saxony,60384,12/27/21,28
Mecklenburg-Vorpommern ,60385,12/27/21,28
North Rhine-Westphalia,60386,12/28/21,28
Rhineland-Palatinate,60387,12/27/21,28
Saarland,60388,12/27/21,28
Saxony,60390,1/15/22,28
Saxony-Anhalt ,60389,1/15/22,28
Schleswig-Holstein,60391,12/27/21,28
Thuringia,60392,1/15/22,28
Greece,82,12/22/21,42
Iceland,83,12/21/21,28
Ireland,84,12/18/21,28
Israel,85,12/8/21,56
Abruzzo,35507,12/25/21,28
Basilicata,35511,12/24/21,28
Calabria,35512,12/24/21,28
Campania,35509,12/24/21,28
Emilia-Romagna,35502,12/25/21,28
Friuli-Venezia Giulia,35501,12/25/21,28
Lazio,35506,12/22/21,28
Liguria,35496,1/5/22,28
Lombardia,35497,12/20/21,28
Marche,35505,12/24/21,28
Molise,35508,12/24/21,28
Piemonte,35494,12/20/21,28
Provincia autonoma di Bolzano ,35498,12/24/21,28
Provincia autonoma di Trento,35499,12/24/21,28
Puglia,35510,12/25/21,28
Sardegna,35514,12/24/21,28
Sicilia,35513,12/24/21,28
Toscana,35503,12/24/21,28
Umbria,35504,12/22/21,28
Valle d'Aosta,35495,12/24/21,28
Veneto,35500,12/24/21,28
Luxembourg,87,12/24/21,28
Malta,88,12/15/21,42
Monaco,367,12/22/21,28
Netherlands,89,12/22/21,28
Norway,90,12/25/21,21
Portugal,91,12/23/21,28
San Marino,396,12/24/21,28
Andalucia,60357,12/8/21,28
Aragon,60358,12/18/21,28
Asturias,60365,12/18/21,28
Balearic Islands,60363,12/22/21,28
Basque Country,60374,12/15/21,28
Canary Islands,60364,12/10/21,28
Cantabria,60359,12/17/21,28
Castile and León ,60367,12/18/21,28
Castilla-La Mancha ,60360,12/18/21,28
Catalonia,60368,12/15/21,28
Ceuta,60369,12/22/21,28
Community of Madrid,60361,12/10/21,28
Extremadura,60362,12/18/21,28
Galicia,60372,12/18/21,28
La Rioja,60376,12/10/21,28
Melilla,60373,12/22/21,28
Murcia,60366,12/18/21,28
Navarre,60370,12/16/21,28
Valencian Community,60371,12/15/21,28
Sweden,93,12/22/21,28
Switzerland,94,12/22/21,28
England,4749,12/10/21,42
Northern Ireland,433,12/15/21,42
Scotland,434,12/15/21,42
Wales,4636,12/15/21,42
Bolivia (Plurinational State of) ,121,12/25/21,28
Ecuador,122,12/22/21,28
Peru,123,12/30/21,28
Antigua and Barbuda ,105,12/30/21,28
Bahamas,106,12/17/21,28
Barbados,107,12/18/21,28
Belize,108,12/24/21,28
Bermuda,305,12/10/21,28
Cuba,109,12/22/21,28
Dominica,110,12/28/21,28
Dominican Republic,111,12/18/21,28
Grenada,112,12/24/21,28
Guyana,113,12/24/21,28
Haiti,114,12/31/21,28
Jamaica,115,12/20/21,28
Puerto Rico,385,12/15/21,35
Saint Kitts and Nevis ,393,12/22/21,28
Saint Lucia ,116,12/20/21,28
Saint Vincent and the Grenadines,117,12/28/21,28
Suriname,118,12/24/21,28
Trinidad and Tobago,119,12/29/21,28
United States Virgin Islands,422,12/17/21,28
Colombia,125,12/22/21,28
Costa Rica,126,12/22/21,28
El Salvador ,127,1/4/22,28
Guatemala,128,12/28/21,28
Honduras,129,1/4/22,28
Aguascalientes,4643,12/18/21,28
Baja California,4644,12/20/21,28
Baja California Sur ,4645,12/10/21,28
Campeche,4646,12/23/21,28
Coahuila,4647,12/22/21,28
Colima,4648,12/22/21,28
Chiapas,4649,12/23/21,28
Chihuahua,4650,12/22/21,28
Mexico City,4651,12/15/21,28
Durango,4652,12/22/21,28
Guanajuato,4653,12/20/21,28
Guerrero,4654,12/20/21,28
Hidalgo,4655,12/18/21,28
Jalisco,4656,12/20/21,28
México,4657,12/19/21,28
Michoacán de Ocampo ,4658,12/20/21,28
Morelos,4659,12/22/21,28
Nayarit,4660,12/23/21,28
Nuevo Leon,4661,12/20/21,28
Oaxaca,4662,12/22/21,28
Puebla,4663,12/20/21,28
Querétaro,4664,12/20/21,28
Quintana Roo,4665,12/15/21,28
San Luis Potosí ,4666,12/17/21,28
Sinaloa,4667,12/20/21,28
Sonora,4668,12/22/21,28
Tabasco,4669,12/18/21,28
Tamaulipas,4670,12/17/21,28
Tlaxcala,4671,12/22/21,28
Veracruz de Ignacio de la Llave,4672,12/22/21,28
Yucatán,4673,12/15/21,28
Zacatecas,4674,12/17/21,28
Nicaragua,131,1/15/22,28
Panama,132,12/17/21,28
Venezuela (Bolivarian Republic of) ,133,1/7/22,28
Acre,4750,1/7/22,28
Alagoas,4751,1/3/22,28
Amazonas,4752,1/3/22,28
Amapa,4753,1/7/22,28
Bahia,4754,1/4/22,28
Ceara,4755,1/4/22,28
Distrito Federal ,4756,12/28/21,28
Espírito Santo,4757,1/4/22,28
Goias,4758,1/1/22,28
Maranhao,4759,1/4/22,28
Minas Gerais,4760,12/28/21,28
Mato Grosso do Sul,4761,1/4/22,28
Mato Grosso,4762,1/3/22,28
Pará,4763,1/22/22,28
Paraíba,4764,1/9/22,28
Paraná,4765,1/4/22,28
Pernambuco,4766,1/6/22,28
Piaui,4767,1/22/22,28
Rio de Janeiro,4768,12/30/21,28
Rio Grande do Norte ,4769,1/15/22,28
Rondônia ,4770,1/3/22,28
Roraima,4771,1/6/22,28
Rio Grande do Sul ,4772,12/31/21,28
Santa Catarina,4773,12/30/21,28
Sergipe ,4774,1/6/22,28
Sao Paulo,4775,12/28/21,28
Tocantins,4776,12/31/21,28
Paraguay,136,12/27/21,28
Afghanistan,160,1/17/22,28
Algeria,139,1/17/22,28
Bahrain,140,12/15/21,28
Egypt,141,1/5/22,28
Iran (Islamic Republic of) ,142,1/15/22,28
Iraq,143,1/6/22,28
Jordan,144,1/6/22,28
Kuwait,145,12/15/21,28
Lebanon,146,12/24/21,28
Libya,147,1/17/22,28
Morocco,148,12/15/21,28
Oman,150,12/22/21,28
Palestine,149,1/1/22,28
Qatar,151,12/17/21,28
Saudi Arabia,152,12/15/21,28
Sudan,522,1/5/22,28
Syrian Arab Republic,153,1/12/22,28
Tunisia,154,12/25/21,28
Turkey,155,12/18/21,28
United Arab Emirates,156,12/10/21,28
Yemen,157,1/7/22,28
Bangladesh,161,12/30/21,28
Bhutan,162,1/3/22,28
Andhra Pradesh,4841,1/3/22,21
Arunachal Pradesh,4842,1/1/22,21
Assam,4843,12/30/21,21
Bihar,4844,12/30/21,21
Chhattisgarh,4846,12/30/21,21
Dadra and Nagar Haveli and Daman and Diu,60896,12/31/21,21
Delhi,4849,12/28/21,21
Goa,4850,12/28/21,21
Gujarat,4851,12/28/21,21
Haryana,4852,12/27/21,21
Himachal Pradesh,4853,12/31/21,21
Jammu & Kashmir and Ladakh,4854,12/30/21,21
Jharkhand,4855,12/25/21,21
Karnataka,4856,12/30/21,21
Kerala,4857,1/3/22,21
Madhya Pradesh,4859,1/1/22,28
Maharashtra,4860,12/24/21,21
Manipur,4861,1/1/22,21
Meghalaya,4862,1/1/22,21
Mizoram,4863,1/2/22,21
Nagaland,4864,1/4/22,21
Odisha,4865,12/30/21,21
Andaman and Nicobar Islands,4840,12/30/21,21
Chandigarh,4845,1/1/22,21
Dadra and Nagar Haveli and Daman and Diu,60896,1/1/22,21
Lakshadweep,4858,1/10/22,21
Puducherry,4866,1/5/22,21
Punjab,4867,12/29/21,28
Rajasthan,4868,12/30/21,21
Sikkim,4869,1/4/22,21
Tamil Nadu,4870,12/28/21,21
Telangana,4871,12/28/21,21
Tripura,4872,12/31/21,21
Uttar Pradesh,4873,12/31/21,21
Uttarakhand,4874,12/30/21,21
West Bengal,4875,12/27/21,28
Nepal,164,1/5/22,28
Azad Jammu & Kashmir,53615,1/15/22,28
Balochistan,53616,1/15/22,28
Gilgit-Baltistan,53617,1/8/22,28
Islamabad Capital Territory,53618,12/30/21,28
Khyber Pakhtunkhwa,53619,1/8/22,28
Punjab,53620,12/27/21,28
Sindh,53621,12/27/21,28
China,6,2/10/22,28
China (without Hong Kong and Macao),44533,3/4/22,28
Anhui,491,3/12/22,28
Beijing,492,1/13/22,28
Chongqing,493,2/25/22,28
Fujian,494,3/12/22,28
Gansu,495,3/4/22,28
Guangdong,496,1/28/22,28
Guangxi,497,2/1/22,28
Guizhou,498,3/8/22,28
Hainan,499,3/28/22,28
Hebei,500,3/5/22,28
Heilongjiang,501,1/22/22,28
Henan,502,12/28/21,28
Hubei,503,3/4/22,28
Hunan,504,3/14/22,28
Inner Mongolia,505,2/12/22,28
Jiangsu,506,2/8/22,28
Jiangxi,507,3/14/22,28
Jilin,508,3/8/22,28
Liaoning,509,2/6/22,28
Ningxia,510,3/4/22,28
Qinghai,511,3/28/22,28
Shaanxi,512,12/17/21,28
Shandong,513,3/1/22,28
Shanghai,514,3/22/22,28
Shanxi,515,4/1/22,28
Sichuan,516,2/15/22,28
Tianjin,517,12/21/21,28
Tibet,518,,28
Xinjiang,519,1/20/22,28
Yunnan,520,2/8/22,28
Zhejiang,521,3/4/22,28
Hong Kong Special Administrative Region of China,354,2/10/22,28
Macao Special Administrative Region of China,361,,28
Democratic People's Republic of Korea,7,,28
Taiwan (Province of China) ,8,1/4/22,35
American Samoa,298,,28
Cook Islands,320,,28
Fiji,22,12/17/21,28
Guam,351,12/28/21,28
Kiribati,23,1/15/22,28
Marshall Islands,24,,28
Micronesia (Federated States of),25,,28
Northern Mariana Islands,376,1/22/22,28
Palau,380,1/5/22,28
Papua New Guinea,26,1/22/22,28
Samoa,27,1/15/22,28
Solomon Islands ,28,12/22/21,28
Tonga,29,2/1/22,28
Vanuatu,30,,28
Cambodia,10,2/3/22,28
Indonesia,11,1/15/22,28
Lao People's Democratic Republic ,12,3/10/22,28
Malaysia,13,2/3/22,28
Maldives,14,1/1/22,28
Mauritius,183,,28
Myanmar,15,2/3/22,28
Philippines,16,12/24/21,56
Seychelles,186,12/24/21,28
Sri Lanka,17,12/29/21,28
Thailand,18,12/29/21,35
Timor-Leste,19,1/27/22,28
Vietnam,20,2/3/22,28
Angola,168,12/10/21,28
Central African Republic,169,12/22/21,28
Congo,170,12/13/21,28
Democratic Republic of the Congo,171,11/27/21,28
Equatorial Guinea,172,12/24/21,28
Gabon,173,12/17/21,28
Burundi,175,12/5/21,28
Comoros,176,12/10/21,28
Djibouti,177,12/15/21,28
Eritrea,178,1/1/22,28
Ethiopia,179,12/10/21,28
Kenya,180,12/10/21,28
Madagascar,181,12/10/21,28
Malawi,182,12/8/21,28
Mozambique,184,12/3/21,28
Rwanda,185,12/8/21,28
Somalia,187,12/10/21,28
South Sudan,435,12/13/21,28
Uganda,190,12/14/21,28
United Republic of Tanzania,189,12/12/21,28
Zambia,191,12/8/21,28
Botswana,193,12/4/21,28
Eswatini,197,11/27/21,28
Lesotho,194,11/29/21,28
Namibia,195,11/28/21,28
South Africa,196,11/15/21,28
Zimbabwe,198,11/25/21,28
Benin,200,12/18/21,28
Burkina Faso,201,12/18/21,28
Cabo Verde,203,12/18/21,28
Cameroon,202,12/18/21,28
Chad,204,1/1/22,28
Côte d'Ivoire ,205,12/17/21,28
Gambia,206,12/26/21,28
Ghana,207,12/18/21,28
Guinea,208,12/17/21,28
Guinea-Bissau ,209,12/30/21,28
Liberia,210,12/22/21,28
Mali,211,12/24/21,28
Mauritania,212,12/23/21,28
Niger,213,12/24/21,28
Nigeria,214,12/6/21,28
Sao Tome and Principe,215,12/24/21,28
Senegal,216,12/22/21,28
Sierra Leone,217,12/14/21,28
Togo,218,12/13/21,28
